# time x y z qx qy qz qw
1.403636634563555479e+09 -2.291152799999999878e+00 2.216729299999999903e+00 7.952550100000000538e-03 -5.048655800000000082e-02 -8.137421799999999816e-01 -3.926331100000000213e-02 5.776964300000000385e-01
1.403636634613555431e+09 -2.322926300000000222e+00 2.234919000000000100e+00 5.828819499999999577e-03 -4.803941999999999934e-02 -8.131549900000000219e-01 -3.925988300000000236e-02 5.787312300000000409e-01
1.403636634663555384e+09 -2.354496800000000167e+00 2.251213200000000025e+00 2.341659600000000046e-03 -4.445928799999999959e-02 -8.129387599999999825e-01 -3.796864400000000278e-02 5.794068700000000183e-01
1.403636634713555574e+09 -2.384375799999999934e+00 2.266947699999999788e+00 -8.146631800000000154e-04 -3.994223000000000218e-02 -8.129203400000000190e-01 -3.701158300000000068e-02 5.798234899999999969e-01
1.403636634763555527e+09 -2.416192300000000071e+00 2.284689800000000215e+00 -3.475125600000000120e-03 -3.622346399999999689e-02 -8.141536400000000118e-01 -3.512787099999999801e-02 5.784528899999999974e-01
1.403636634813555479e+09 -2.440490699999999791e+00 2.294720499999999941e+00 -3.948848399999999731e-03 -3.335119999999999751e-02 -8.157603100000000440e-01 -3.289351000000000080e-02 5.764901000000000053e-01
1.403636634863555431e+09 -2.472969599999999879e+00 2.311459900000000012e+00 -4.231287599999999580e-03 -3.087652100000000052e-02 -8.170789899999999495e-01 -3.057043300000000102e-02 5.748860900000000163e-01
1.403636634913555384e+09 -2.504801699999999798e+00 2.326183799999999913e+00 -2.668907600000000081e-03 -2.804056599999999941e-02 -8.181635499999999617e-01 -2.838850899999999927e-02 5.735993600000000026e-01
1.403636634963555574e+09 -2.537529699999999888e+00 2.341561099999999840e+00 1.836053600000000130e-04 -2.520081500000000141e-02 -8.197590500000000446e-01 -2.679518700000000156e-02 5.715260599999999469e-01
1.403636635013555527e+09 -2.571365500000000193e+00 2.358167700000000089e+00 4.630873300000000296e-03 -2.217076700000000095e-02 -8.201604599999999801e-01 -2.599116400000000063e-02 5.711127099999999679e-01
1.403636635063555479e+09 -2.603989700000000074e+00 2.372789200000000154e+00 8.453121900000000813e-03 -1.964574300000000023e-02 -8.211496600000000035e-01 -2.520459400000000030e-02 5.698175300000000165e-01
1.403636635113555431e+09 -2.634992399999999790e+00 2.385779700000000059e+00 1.116579699999999988e-02 -1.762718300000000113e-02 -8.220390600000000436e-01 -2.451906100000000172e-02 5.686298199999999525e-01
1.403636635163555384e+09 -2.661860599999999799e+00 2.395216200000000129e+00 1.242083100000000023e-02 -1.637113499999999847e-02 -8.226212200000000418e-01 -2.331734599999999921e-02 5.678755300000000172e-01
1.403636635213555574e+09 -2.692739099999999830e+00 2.408377499999999838e+00 1.246018899999999999e-02 -1.535777399999999938e-02 -8.235682600000000519e-01 -2.211397699999999994e-02 5.665778299999999490e-01
1.403636635263555527e+09 -2.724161099999999891e+00 2.420666600000000113e+00 1.102474099999999936e-02 -1.547188399999999998e-02 -8.240937699999999477e-01 -1.959692999999999852e-02 5.659028600000000075e-01
1.403636635313555479e+09 -2.755456099999999964e+00 2.433089499999999905e+00 8.328812999999999148e-03 -1.598039399999999846e-02 -8.249050599999999678e-01 -1.706083699999999884e-02 5.647877399999999826e-01
1.403636635363555431e+09 -2.787871899999999847e+00 2.445884099999999783e+00 5.552158399999999883e-03 -1.778834899999999844e-02 -8.259331699999999943e-01 -1.332396700000000080e-02 5.633297800000000022e-01
1.403636635413555384e+09 -2.821934399999999954e+00 2.455169900000000016e+00 4.381022200000000109e-03 -1.850278699999999971e-02 -8.266109900000000454e-01 -1.156842800000000039e-02 5.623505100000000256e-01
1.403636635463555574e+09 -2.852693200000000040e+00 2.465373299999999990e+00 2.602954399999999908e-03 -1.930227500000000068e-02 -8.263042499999999624e-01 -1.016427299999999971e-02 5.628013899999999570e-01
1.403636635513555527e+09 -2.885289100000000051e+00 2.477199199999999824e+00 2.706516899999999830e-03 -2.114575900000000008e-02 -8.264864200000000549e-01 -7.642948200000000171e-03 5.625074599999999592e-01
1.403636635563555479e+09 -2.917408200000000118e+00 2.488968199999999964e+00 4.824763200000000210e-03 -2.177085700000000110e-02 -8.264688100000000537e-01 -6.901433700000000025e-03 5.625190799999999491e-01
1.403636635613555431e+09 -2.947760000000000158e+00 2.499810300000000041e+00 8.036571600000000370e-03 -2.266194100000000142e-02 -8.259851499999999458e-01 -6.070980600000000331e-03 5.632034399999999996e-01
1.403636635663555384e+09 -2.959510400000000097e+00 2.496397800000000000e+00 1.067213200000000084e-02 -2.410001700000000135e-02 -8.252127200000000107e-01 -5.133475999999999664e-03 5.642843300000000006e-01
1.403636635713555574e+09 -2.978479300000000052e+00 2.497331799999999991e+00 1.891746500000000136e-02 -2.479869900000000044e-02 -8.244560399999999456e-01 -5.134925400000000389e-03 5.653590899999999531e-01
1.403636635763555527e+09 -3.009586600000000001e+00 2.507430299999999779e+00 2.913149900000000167e-02 -2.642075400000000115e-02 -8.225638299999999958e-01 -3.776707199999999875e-03 5.680461399999999772e-01
1.403636635813555479e+09 -3.044357799999999781e+00 2.521192099999999936e+00 4.081616400000000200e-02 -2.914181299999999905e-02 -8.201372900000000188e-01 -8.694270299999999705e-04 5.714235100000000234e-01
1.403636635863555431e+09 -3.083332700000000148e+00 2.539147999999999961e+00 5.406926000000000093e-02 -3.169988599999999657e-02 -8.186075699999999511e-01 1.529636299999999902e-03 5.734757299999999614e-01
1.403636635913555384e+09 -3.120762599999999942e+00 2.558591400000000071e+00 6.778969699999999599e-02 -3.429386400000000029e-02 -8.192440699999999909e-01 4.417930100000000068e-03 5.724015799999999654e-01
1.403636635963555574e+09 -3.162028100000000119e+00 2.580775899999999901e+00 8.205368500000000120e-02 -3.511256699999999731e-02 -8.212251900000000493e-01 4.772731700000000347e-03 5.695028699999999944e-01
1.403636636013555527e+09 -3.194082400000000099e+00 2.598515900000000212e+00 9.491675099999999365e-02 -3.438023099999999721e-02 -8.242673000000000361e-01 2.947021699999999994e-03 5.651484199999999847e-01
1.403636636063555479e+09 -3.223389099999999896e+00 2.615338299999999894e+00 1.057937099999999991e-01 -3.222560299999999850e-02 -8.266171700000000122e-01 -8.497173600000000214e-04 5.618405899999999731e-01
1.403636636113555431e+09 -3.257081299999999846e+00 2.634193999999999924e+00 1.168427199999999971e-01 -2.958597199999999858e-02 -8.282689100000000249e-01 -5.014812599999999773e-03 5.595267099999999827e-01
1.403636636163555384e+09 -3.290601600000000015e+00 2.647571300000000072e+00 1.261663399999999879e-01 -2.728367400000000081e-02 -8.272763400000000544e-01 -8.598214200000000793e-03 5.610664199999999546e-01
1.403636636213555574e+09 -3.329810300000000112e+00 2.669523499999999938e+00 1.398962699999999892e-01 -2.442043099999999939e-02 -8.245453400000000155e-01 -1.247899100000000004e-02 5.651308699999999519e-01
1.403636636263555527e+09 -3.365182200000000012e+00 2.690039899999999928e+00 1.572642599999999891e-01 -2.210954799999999970e-02 -8.211669099999999721e-01 -1.572150699999999915e-02 5.700428899999999688e-01
1.403636636313555479e+09 -3.400115399999999788e+00 2.712059800000000021e+00 1.767798100000000094e-01 -2.069491899999999912e-02 -8.181201500000000459e-01 -1.743434099999999903e-02 5.744102899999999901e-01
1.403636636363555431e+09 -3.435509600000000052e+00 2.733425399999999783e+00 1.964547700000000008e-01 -1.945830299999999971e-02 -8.142922900000000297e-01 -1.899694500000000119e-02 5.798176900000000522e-01
1.403636636413555384e+09 -3.481687599999999883e+00 2.761639000000000177e+00 2.101561000000000123e-01 -1.838130500000000056e-02 -8.097282700000000277e-01 -2.004123899999999889e-02 5.861745600000000112e-01
1.403636636463555574e+09 -3.518525100000000183e+00 2.780847099999999905e+00 2.235396900000000131e-01 -1.765213499999999935e-02 -8.056253599999999571e-01 -2.085606599999999949e-02 5.917949000000000126e-01
1.403636636513555527e+09 -3.555565999999999782e+00 2.800006199999999890e+00 2.321113099999999874e-01 -1.586747599999999842e-02 -8.038148899999999486e-01 -2.373404800000000064e-02 5.941940199999999894e-01
1.403636636563555479e+09 -3.590796300000000052e+00 2.820127799999999851e+00 2.406689300000000031e-01 -1.357980599999999982e-02 -8.031014199999999548e-01 -2.687567800000000007e-02 5.950809999999999711e-01
1.403636636613555431e+09 -3.636603200000000147e+00 2.848042599999999869e+00 2.500779200000000091e-01 -1.092719699999999960e-02 -8.027756099999999728e-01 -3.057265300000000172e-02 5.953967000000000009e-01
1.403636636663555384e+09 -3.674690899999999871e+00 2.873483799999999810e+00 2.559879600000000144e-01 -8.142435999999999424e-03 -8.028924100000000008e-01 -3.443059200000000292e-02 5.950731099999999607e-01
1.403636636713555574e+09 -3.715307699999999880e+00 2.897838999999999832e+00 2.617831500000000200e-01 -5.834913899999999605e-03 -8.029545900000000236e-01 -3.782071699999999675e-02 5.948104600000000408e-01
1.403636636763555527e+09 -3.757674399999999970e+00 2.922379100000000118e+00 2.653978300000000012e-01 -3.412533200000000214e-03 -8.032451800000000031e-01 -4.117368500000000153e-02 5.942139800000000305e-01
1.403636636813555479e+09 -3.788261100000000159e+00 2.932641799999999854e+00 2.770758799999999966e-01 -3.272279599999999887e-04 -8.038288999999999573e-01 -4.565889299999999901e-02 5.931056000000000106e-01
1.403636636863555431e+09 -3.818068799999999818e+00 2.948313300000000137e+00 2.776011400000000240e-01 2.482505900000000175e-03 -8.047622300000000228e-01 -4.920320699999999881e-02 5.915493499999999738e-01
1.403636636913555384e+09 -3.848794499999999896e+00 2.963117099999999837e+00 2.759510399999999808e-01 1.220963399999999959e-03 -8.065437699999999932e-01 -4.649558599999999847e-02 5.893418499999999449e-01
1.403636636963555574e+09 -3.881175300000000217e+00 2.978402899999999853e+00 2.731385100000000010e-01 -1.696893799999999938e-03 -8.077981100000000136e-01 -4.085981600000000019e-02 5.880389499999999492e-01
